label	var0	var1	var2	order_id
1	0	1	0	6f8e1014
0	0	0	1	6f8ea22e
1	0	1	0	6f8ea435
0	0	0	1	6f8ea5e1
1	0	1	0	6f8ea785
1	0	1	0	6f8ea91e
0	1	0	0	6f8eaaba
1	0	1	0	6f8eac54
0	1	1	0	6f8eade3
0	1	0	0	6f8eaf87
0	0	1	0	6f8eb119
1	0	1	0	6f8eb2e3
1	1	1	0	6f8eb45e
1	0	1	0	6f8eb5e6
1	0	1	0	6f8eb761
0	0	0	1	6f8eb8d4
0	0	0	1	6f8eba59
0	0	1	0	6f8ebbd4
1	0	1	0	6f8ebd5c
1	0	1	0	6f8ebec5
0	1	0	0	6f8ec04a
0	0	0	1	6f8ec1bd
1	0	1	0	6f8ec319
1	0	1	0	6f8ec480
1	1	0	0	6f8ec5d7
1	1	1	0	6f8ec72b
0	0	0	1	6f8ec887
0	0	0	1	6f8eca05
1	1	1	0	6f8ecb94
1	0	1	0	6f8ecd0f
0	1	0	0	6f8ece82
1	1	1	0	6f8ecfd7
1	0	1	0	6f8ed135
1	1	1	0	6f8ed27d
0	0	0	1	6f8ed3c7
0	0	0	1	6f8ed511
0	0	0	1	6f8ed663
0	0	0	1	6f8ed7eb
1	0	1	0	6f8ed940
0	1	0	0	6f8eda8a
0	1	0	0	6f8edbd1
1	1	1	0	6f8edd1e
1	1	1	0	6f8ede66
0	1	0	0	6f8edfee
0	1	0	0	6f8ee161
1	1	0	0	6f8ee2bd
0	0	1	0	6f8ee43a
1	0	1	0	6f8ee5ca
0	0	1	0	6f8ee763
1	1	1	0	6f8ee8f5
0	1	0	0	6f8eea78
1	1	1	0	6f8eebf5
1	0	1	0	6f8eed85
1	0	1	0	6f8eef1e
1	0	1	0	6f8ef0b8
1	0	1	0	6f8ef254
0	0	0	1	6f8ef3e3
1	0	0	1	6f8ef57d
1	0	1	0	6f8ef717
0	0	1	0	6f8ef89e
0	1	0	0	6f8efa23
1	0	1	0	6f8efbb3
0	0	0	1	6f8efd4f
0	1	0	0	6f8efef0
0	1	0	0	6f8f00f0
1	1	1	0	6f8f02dc
1	1	1	0	6f8f0468
1	1	1	0	6f8f0602
1	1	0	0	6f8f079e
1	1	1	0	6f8f0940
1	1	1	0	6f8f0ae6
1	1	1	0	6f8f0c8a
1	1	1	0	6f8f0e0f
1	1	1	0	6f8f0f8c
1	0	0	1	6f8f1126
0	1	0	0	6f8f12a1
1	1	1	0	6f8f13f5
0	0	0	1	6f8f154a
0	0	0	1	6f8f1694
1	1	1	0	6f8f17e6
1	0	1	0	6f8f1933
1	0	1	0	6f8f1a7a
1	0	1	0	6f8f1bc5
1	0	1	0	6f8f1d0f
0	0	0	1	6f8f1e63
1	0	1	0	6f8f1fae
0	0	0	1	6f8f20f8
0	1	0	0	6f8f2242
1	1	1	0	6f8f2394
1	1	0	0	6f8f24e1
1	1	1	0	6f8f2628
0	0	1	0	6f8f2775
1	0	1	0	6f8f28c7
1	1	1	0	6f8f2a11
0	0	0	1	6f8f2b66
0	0	0	1	6f8f2cb0
1	1	1	0	6f8f2e02
1	0	1	0	6f8f2f4f
1	1	1	0	6f8f30a1
0	1	0	0	6f8f31ee
1	0	1	0	6f8f3335
1	1	1	0	6f8f3480
1	0	1	0	6f8f35d4
0	0	0	1	6f8f371c
0	0	0	1	6f8f387a
0	0	0	1	6f8f39c7
1	0	1	0	6f8f3b0f
0	1	0	0	6f8f3c63
1	1	1	0	6f8f3dae
1	0	0	1	6f8f3ef8
0	1	0	0	6f8f404c
1	1	1	0	6f8f4197
1	1	1	0	6f8f42e1
1	0	1	0	6f8f4435
1	1	1	0	6f8f457d
1	0	1	0	6f8f46c7
1	0	0	1	6f8f4811
0	0	0	1	6f8f4970
0	1	0	0	6f8f4aba
1	1	1	0	6f8f4c35
1	1	1	0	6f8f4da8
0	0	0	1	6f8f4f23
1	1	1	0	6f8f5094
0	0	0	1	6f8f5207
0	0	0	1	6f8f537a
0	0	0	1	6f8f54eb
1	1	1	0	6f8f5640
1	1	1	0	6f8f57b3
1	1	1	0	6f8f592e
0	0	0	1	6f8f5a9e
0	1	1	0	6f8f5c19
1	0	1	0	6f8f5df3
1	0	1	0	6f8f5f78
1	0	1	0	6f8f6111
0	1	1	0	6f8f628f
1	1	1	0	6f8f6433
0	0	0	1	6f8f6607
1	0	0	1	6f8f677a
1	0	1	0	6f8f690a
1	0	1	0	6f8f6a8f
0	0	0	1	6f8f6c0c
1	1	1	0	6f8f6d7d
1	1	1	0	6f8f6ee6
0	0	0	1	6f8f7045
0	0	1	0	6f8f71b5
0	1	1	0	6f8f731e
0	1	0	0	6f8f747d
1	1	1	0	6f8f75cf
1	0	1	0	6f8f7719
1	1	1	0	6f8f786e
1	0	1	0	6f8f79ae
0	1	0	0	6f8f7b02
0	0	0	1	6f8f7c4c
0	1	0	0	6f8f7d97
1	0	1	0	6f8f7ede
0	0	0	1	6f8f802b
0	1	0	0	6f8f817d
1	0	1	0	6f8f82c7
1	1	1	0	6f8f8411
1	0	1	0	6f8f855c
0	0	0	1	6f8f86a6
0	1	0	0	6f8f87ee
0	1	0	0	6f8f8930
1	1	1	0	6f8f8a82
1	1	0	0	6f8f8bcf
1	0	0	1	6f8f8d17
1	0	1	0	6f8f8e6b
0	0	0	1	6f8f8fb5
0	0	0	1	6f8f9100
0	1	0	0	6f8f924a
1	1	0	0	6f8f9391
1	1	1	0	6f8f94e8
0	1	0	0	6f8f9630
1	0	1	0	6f8f977d
0	0	0	1	6f8f98c5
1	0	1	0	6f8f9a19
0	1	0	0	6f8f9b63
0	0	0	1	6f8f9cb8
1	1	0	0	6f8f9e02
1	1	1	0	6f8f9f57
1	1	1	0	6f8fa09e
0	1	0	0	6f8fa1eb
1	1	1	0	6f8fa333
0	1	0	0	6f8fa480
0	0	0	1	6f8fa5d1
0	1	0	0	6f8fa71c
1	1	1	0	6f8fa866
0	1	0	0	6f8fa9ba
0	0	0	1	6f8fab05
1	1	1	0	6f8fac6b
1	0	1	0	6f8fade6
1	0	1	0	6f8faf5c
1	1	1	0	6f8fb0d7
0	1	0	0	6f8fb23d
1	1	1	0	6f8fb3b0
0	0	1	0	6f8fb52b
1	0	1	0	6f8fb6a8
1	0	1	0	6f8fb819
0	0	0	1	6f8fb978
1	1	1	0	6f8fbafd
