sepal_length	sepal_width	petal_length	petal_width	species	predict
5.1	3.5	1.4	0.2	setosa	5.03682930924758
4.9	3	1.4	0.2	setosa	4.76958829322152
4.7	3.2	1.3	0.2	setosa	4.80738114334108
4.6	3.1	1.5	0.2	setosa	4.89214005271759
5	3.6	1.4	0.2	setosa	5.09027751245279
5.4	3.9	1.7	0.4	setosa	5.41495647572261
4.6	3.4	1.4	0.3	setosa	4.96189294843316
5	3.4	1.5	0.2	setosa	5.05248466233323
4.4	2.9	1.4	0.2	setosa	4.7161400900163
4.9	3.1	1.5	0.1	setosa	4.91362821032679
5.4	3.7	1.5	0.2	setosa	5.21282927194886
4.8	3.4	1.6	0.2	setosa	5.12158821862409
4.8	3	1.4	0.1	setosa	4.79107645083072
4.3	3	1.1	0.1	setosa	4.58376578195813
5.8	4	1.2	0.2	setosa	5.16586321269191
5.7	4.4	1.5	0.4	setosa	5.54399037916694
5.4	3.9	1.3	0.4	setosa	5.13854225055916
5.1	3.5	1.4	0.3	setosa	5.01534115163837
5.7	3.8	1.7	0.3	setosa	5.3829964301266
5.1	3.8	1.5	0.3	setosa	5.24478931754487
5.4	3.4	1.7	0.2	setosa	5.19069177491495
5.1	3.7	1.5	0.4	setosa	5.16985295673046
4.6	3.6	1	0.2	setosa	4.81386328728934
5.1	3.3	1.7	0.5	setosa	5.07277909888213
4.8	3.4	1.9	0.2	setosa	5.32889888749668
5	3	1.6	0.2	setosa	4.90779540580324
5	3.4	1.6	0.4	setosa	5.07861190340568
5.2	3.5	1.5	0.2	setosa	5.10593286553844
5.2	3.4	1.4	0.2	setosa	4.98338110604236
4.7	3.2	1.6	0.2	setosa	5.01469181221367
4.8	3.1	1.6	0.2	setosa	4.96124360900845
5.4	3.4	1.5	0.4	setosa	5.00950834711482
5.2	4.1	1.5	0.1	setosa	5.44811024237891
5.5	4.2	1.4	0.2	setosa	5.41096673168406
4.9	3.1	1.5	0.2	setosa	4.89214005271759
5	3.2	1.2	0.2	setosa	4.73827758705021
5.5	3.5	1.3	0.2	setosa	4.96772575295671
4.9	3.6	1.4	0.1	setosa	5.11176567006199
4.4	3	1.3	0.2	setosa	4.70048473693065
5.1	3.4	1.5	0.2	setosa	5.05248466233323
5	3.5	1.3	0.3	setosa	4.94623759534751
4.5	2.3	1.3	0.3	setosa	4.30485915688497
4.4	3.2	1.3	0.2	setosa	4.80738114334108
5	3.5	1.6	0.6	setosa	5.08908379139249
5.1	3.8	1.9	0.4	setosa	5.49971538509912
4.8	3	1.4	0.3	setosa	4.74810013561231
5.1	3.8	1.6	0.2	setosa	5.33538103144494
4.6	3.2	1.4	0.2	setosa	4.87648469963194
5.3	3.7	1.5	0.2	setosa	5.21282927194886
5	3.3	1.4	0.2	setosa	4.92993290283715
7	3.2	4.7	1.4	versicolor	6.46753665223872
6.4	3.2	4.5	1.5	versicolor	6.30784138204779
6.9	3.1	4.9	1.5	versicolor	6.53080740400603
5.5	2.3	4	1.3	versicolor	5.52426608696498
6.5	2.8	4.6	1.5	versicolor	6.16315212551781
5.7	2.8	4.5	1.3	versicolor	6.13702488444535
6.3	3.3	4.7	1.6	versicolor	6.47800854022553
4.9	2.4	3.3	1	versicolor	5.15845386896176
6.6	2.9	4.6	1.3	versicolor	6.25957664394142
5.2	2.7	3.9	1.4	versicolor	5.64746718588576
5	2	3.5	1	versicolor	5.08286816872263
5.9	3	4.2	1.5	versicolor	5.99363430676478
6	2.2	4	1	versicolor	5.53528235658737
6.1	2.9	4.7	1.4	versicolor	6.30719204262309
5.6	2.9	3.6	1.3	versicolor	5.5685410810328
6.7	3.1	4.4	1.4	versicolor	6.20677778016092
5.6	3	4.5	1.5	versicolor	6.20094497563737
5.8	2.7	4.1	1	versicolor	5.87162692890429
6.2	2.2	4.5	1.5	versicolor	5.77335934999567
5.6	2.5	3.9	1.1	versicolor	5.60503525230294
5.9	3.2	4.8	1.8	versicolor	6.45068757809278
6.1	2.8	4	1.3	versicolor	5.79150710299104
6.3	2.5	4.9	1.5	versicolor	6.21011818477476
6.1	2.8	4.7	1.2	versicolor	6.29672015463628
6.4	2.9	4.3	1.3	versicolor	6.05226597506884
6.6	3	4.4	1.4	versicolor	6.15332957695571
6.8	2.8	4.8	1.4	versicolor	6.32284739570874
6.7	3	5	1.7	versicolor	6.50348644187328
6	2.9	4.5	1.5	versicolor	6.14749677243216
5.7	2.6	3.5	1	versicolor	5.40355738795391
5.5	2.4	3.8	1.1	versicolor	5.48248349280687
5.5	2.4	3.7	1	versicolor	5.43486809412521
5.8	2.7	3.9	1.2	versicolor	5.69044350110416
6	2.7	5.1	1.6	versicolor	6.43373354615771
5.4	3	4.5	1.5	versicolor	6.20094497563737
6	3.4	4.5	1.6	versicolor	6.39324963084902
6.7	3.1	4.7	1.5	versicolor	6.39260029142431
6.3	2.3	4.4	1.3	versicolor	5.80068031212843
5.6	3	4.1	1.3	versicolor	5.96750706569232
5.5	2.5	4	1.3	versicolor	5.6311624933754
5.5	2.6	4.4	1.2	versicolor	5.98251307935327
6.1	3	4.6	1.4	versicolor	6.29153668953743
5.8	2.6	4	1.2	versicolor	5.70609885418982
5	2.3	3.3	1	versicolor	5.10500566575654
5.6	2.7	4.2	1.3	versicolor	5.87626601236755
5.7	3	4.2	1.2	versicolor	6.05809877959239
5.7	2.9	4.2	1.3	versicolor	5.98316241877798
6.2	2.9	4.3	1.3	versicolor	6.05226597506884
5.1	2.5	3	1.1	versicolor	4.98310324568518
5.7	2.8	4.1	1.3	versicolor	5.8606106592819
6.3	3.3	6	2.5	virginica	6.99577962517456
5.8	2.7	5.1	1.9	virginica	6.18208734498073
7.1	3	5.9	2.1	virginica	6.85228408970486
6.3	2.9	5.6	1.8	virginica	6.65598969045467
6.5	3	5.8	2.2	virginica	6.7616923758048
7.6	3	6.6	2.1	virginica	7.3360089837409
4.9	2.5	4.5	1.7	virginica	5.70354591604354
7.3	2.9	6.3	1.8	virginica	7.13971458449071
6.7	2.5	5.8	1.8	virginica	6.58040399021555
7.2	3.6	6.1	2.5	virginica	7.22522779108105
6.5	3.2	5.1	2	virginica	6.42784020339759
6.4	2.7	5.3	1.9	virginica	6.32029445756246
6.8	3	5.5	2.1	virginica	6.57586986454141
5.7	2.5	5	2	virginica	5.98459922467024
5.8	2.8	5.1	2.4	virginica	6.12809476013993
6.4	3.2	5.3	2.3	virginica	6.50158284315171
6.5	3	5.5	1.8	virginica	6.64033433736902
7.7	3.8	6.7	2.2	virginica	7.81121000806426
7.7	2.6	6.9	2.3	virginica	7.28655052457424
6	2.2	5	1.5	virginica	5.93169540310062
6.9	3.2	5.7	2.3	virginica	6.77799706831516
5.6	2.8	4.9	2	virginica	6.07584027799502
7.7	2.8	6.7	2	virginica	7.31970429123054
6.3	2.7	4.9	1.8	virginica	6.06536839000821
6.7	3.3	5.7	2.1	virginica	6.87442158673877
7.2	3.2	6	1.8	virginica	7.09274852523376
6.2	2.8	4.8	1.8	virginica	6.04971303692256
6.1	3	4.9	1.8	virginica	6.22571299962384
6.4	2.8	5.6	2.1	virginica	6.53807701442185
7.2	3	5.8	1.6	virginica	6.89062132146001
7.4	2.8	6.1	1.9	virginica	6.92657111109457
7.9	3.8	6.4	2	virginica	7.64687565441008
6.4	2.8	5.6	2.2	virginica	6.51658885681265
6.3	2.8	5.1	1.5	virginica	6.32148817862275
6.1	2.6	5.6	1.4	virginica	6.58159771127584
7.7	3	6.1	2.3	virginica	6.94751488706819
6.3	3.4	5.6	2.4	virginica	6.79430176082552
6.4	3.1	5.5	1.8	virginica	6.69378254057423
6	3	4.8	1.8	virginica	6.15660944333298
6.9	3.1	5.4	2.1	virginica	6.56021451145576
6.7	3.1	5.6	2.4	virginica	6.63395715120988
6.9	3.1	5.1	2.3	virginica	6.30992752736477
5.8	2.7	5.1	1.9	virginica	6.18208734498073
6.8	3.2	5.9	2.3	virginica	6.91620418089689
6.7	3.3	5.7	2.5	virginica	6.78846895630197
6.7	3	5.2	2.3	virginica	6.32558288045042
6.3	2.5	5	1.9	virginica	6.00608738227944
6.5	3	5.2	2	virginica	6.39004735327803
6.2	3.4	5.4	2.3	virginica	6.677582805853
5.9	3	5.1	1.8	virginica	6.36392011220557
